action step time valid done rdy ack
- 0 0.0 0 0 0 0
producer 1 28.078775272145368 1 0 0 0
sender 2 28.69668646845018 1 0 1 0
reciever 3 29.881380244756475 1 0 1 1
sender 4 31.033070483783863 1 0 0 1
producer 5 31.057452159949854 0 0 0 1
producer 6 31.224905527072288 1 0 0 1
producer 7 34.274316604072865 0 0 0 1
consumer 8 34.912569997632396 0 1 0 1
producer 9 35.19854952770445 1 1 0 1
reciever 10 35.62973967518465 1 1 0 0
consumer 11 35.776611355595335 1 0 0 0
sender 12 37.24456853004163 1 0 1 0
reciever 13 37.341185763444834 1 0 1 1
sender 14 37.63764018247337 1 0 0 1
consumer 15 37.65386523823187 1 1 0 1
reciever 16 42.37223978689587 1 1 0 0
sender 17 43.99642715473515 1 1 1 0
consumer 18 51.7849973584358 1 0 1 0
reciever 19 52.32885735295208 1 0 1 1
sender 20 52.34981217427427 1 0 0 1
consumer 21 58.90749985993229 1 1 0 1
reciever 22 59.70083118396953 1 1 0 0
consumer 23 60.65466771739127 1 0 0 0
sender 24 60.93567149800577 1 0 1 0
reciever 25 61.58626361300102 1 0 1 1
sender 26 62.65362245933907 1 0 0 1
consumer 27 65.17356002225847 1 1 0 1
reciever 28 65.32048245297581 1 1 0 0
sender 29 66.07949121086855 1 1 1 0
consumer 30 77.28517279223831 1 0 1 0
reciever 31 78.7627013794925 1 0 1 1
sender 32 79.8225170781313 1 0 0 1
producer 33 83.35014098888534 0 0 0 1
consumer 34 92.41516752900868 0 1 0 1
reciever 35 92.99481875692423 0 1 0 0
producer 36 93.41557100242271 1 1 0 0
consumer 37 93.87889240237388 1 0 0 0
sender 38 95.48833911617012 1 0 1 0
reciever 39 96.76441313736169 1 0 1 1
sender 40 98.92314821292827 1 0 0 1
consumer 41 106.67600793420914 1 1 0 1
reciever 42 107.54532392034673 1 1 0 0
sender 43 108.78644590723495 1 1 1 0
consumer 44 109.49967330424438 1 0 1 0
reciever 45 109.54982818857708 1 0 1 1
sender 46 109.66303887587489 1 0 0 1
consumer 47 114.35420038949053 1 1 0 1
reciever 48 114.42467574684052 1 1 0 0
sender 49 114.79618761159705 1 1 1 0
consumer 50 116.42496262510063 1 0 1 0
reciever 51 116.7595430234119 1 0 1 1
sender 52 117.9107149668831 1 0 0 1
producer 53 123.6325963412682 0 0 0 1
producer 54 135.6282957132311 1 0 0 1
consumer 55 137.6982678041618 1 1 0 1
reciever 56 138.1041327246188 1 1 0 0
sender 57 138.72771425500488 1 1 1 0
consumer 58 154.51357981422083 1 0 1 0
reciever 59 154.6712488053427 1 0 1 1
sender 60 155.72743986471144 1 0 0 1
producer 61 162.68256539275436 0 0 0 1
consumer 62 175.0221959261545 0 1 0 1
reciever 63 175.6544928662128 0 1 0 0
consumer 64 179.5328444703926 0 0 0 0
producer 65 191.36826599026656 1 0 0 0
sender 66 192.0704740356331 1 0 1 0
reciever 67 193.2219606657491 1 0 1 1
sender 68 194.0156766820626 1 0 0 1
producer 69 196.54020136689087 0 0 0 1
consumer 70 201.958053339999 0 1 0 1
reciever 71 202.8789915849178 0 1 0 0
consumer 72 211.61990766780346 0 0 0 0
producer 73 215.84028215893366 1 0 0 0
sender 74 216.95040639761038 1 0 1 0
reciever 75 217.6837943304576 1 0 1 1
sender 76 218.63685173831283 1 0 0 1
producer 77 228.7706568717715 0 0 0 1
producer 78 228.84996752897482 1 0 0 1
consumer 79 231.0683830343409 1 1 0 1
reciever 80 231.23496302236111 1 1 0 0
sender 81 232.23659395285082 1 1 1 0
consumer 82 237.37350713224504 1 0 1 0
reciever 83 237.53001807850097 1 0 1 1
sender 84 238.84710519131468 1 0 0 1
producer 85 238.8821440806435 0 0 0 1
producer 86 245.08583553133823 1 0 0 1
consumer 87 247.43064188802572 1 1 0 1
producer 88 248.06340603105465 0 1 0 1
reciever 89 249.55368102139167 0 1 0 0
consumer 90 250.0231499436295 0 0 0 0
producer 91 279.0457427298523 1 0 0 0
producer 92 280.65811776473714 0 0 0 0
producer 93 293.8212969802058 1 0 0 0
sender 94 294.7274637272173 1 0 1 0
reciever 95 295.2227210794997 1 0 1 1
sender 96 297.096603077527 1 0 0 1
producer 97 298.73216134974035 0 0 0 1
producer 98 305.44185643205793 1 0 0 1
consumer 99 310.3501770405727 1 1 0 1
reciever 100 311.43518783497433 1 1 0 0
