action step time valid done rdy ack
- 0 0.0 0 0 0 0
producer 1 2.2635885654520562 1 0 0 0
sender 2 6.257348213295327 1 0 1 0
reciever 3 7.6198037568557755 1 0 1 1
sender 4 7.75712869999063 1 0 0 1
producer 5 9.651208034119986 0 0 0 1
producer 6 13.37652205458065 1 0 0 1
producer 7 16.21843781944178 0 0 0 1
producer 8 18.29304462238887 1 0 0 1
consumer 9 18.58110852068711 1 1 0 1
reciever 10 22.38383508972859 1 1 0 0
sender 11 22.729669778737613 1 1 1 0
consumer 12 25.550674268163945 1 0 1 0
reciever 13 26.612947789703288 1 0 1 1
sender 14 27.02106874245936 1 0 0 1
producer 15 28.442670446399255 0 0 0 1
consumer 16 30.552902141328396 0 1 0 1
reciever 17 31.23610919291206 0 1 0 0
producer 18 40.65352870629294 1 1 0 0
sender 19 41.43901850780811 1 1 1 0
consumer 20 51.994825654543604 1 0 1 0
reciever 21 53.101366607062616 1 0 1 1
sender 22 53.25145046649376 1 0 0 1
producer 23 54.83708065354859 0 0 0 1
consumer 24 56.78465575679578 0 1 0 1
reciever 25 60.09407948788305 0 1 0 0
producer 26 62.18706063289562 1 1 0 0
sender 27 63.82690166403845 1 1 1 0
consumer 28 77.32174599877025 1 0 1 0
reciever 29 78.4814402443973 1 0 1 1
sender 30 78.78706424702818 1 0 0 1
consumer 31 82.77234141379509 1 1 0 1
reciever 32 84.08912615712231 1 1 0 0
sender 33 84.84672282285429 1 1 1 0
consumer 34 92.13619838351474 1 0 1 0
reciever 35 92.2919501420989 1 0 1 1
sender 36 92.69392567454557 1 0 0 1
producer 37 92.75582716983507 0 0 0 1
consumer 38 98.20446091075006 0 1 0 1
reciever 39 98.20731700448923 0 1 0 0
consumer 40 98.80435127808727 0 0 0 0
producer 41 101.33272128561302 1 0 0 0
producer 42 101.3497008507989 0 0 0 0
producer 43 101.5468581884714 1 0 0 0
sender 44 102.46968293301012 1 0 1 0
reciever 45 104.79066126791335 1 0 1 1
consumer 46 105.69884748963058 1 1 1 1
sender 47 107.13359851825665 1 1 0 1
reciever 48 107.3208331977399 1 1 0 0
sender 49 107.33693094634954 1 1 1 0
consumer 50 107.82336673750586 1 0 1 0
reciever 51 108.14689925721046 1 0 1 1
sender 52 108.15411440173914 1 0 0 1
consumer 53 118.34543301703644 1 1 0 1
reciever 54 118.83243676537225 1 1 0 0
sender 55 120.5585026249252 1 1 1 0
consumer 56 120.76670534715987 1 0 1 0
reciever 57 121.88529788704027 1 0 1 1
sender 58 124.92826328684178 1 0 0 1
