action step inA inB clk Q T outW Z
- 0 0 0 0 0 0 0 0
[event] 1 0 0 1 0 0 0 0
[event] 2 0 0 0 0 0 0 0
[event] 3 0 0 1 0 0 0 0
[event] 4 0 0 0 0 0 0 0
[event] 5 0 0 1 0 0 0 0
[event] 6 0 1 0 0 0 0 0
[event] 7 0 1 1 0 1 0 0
[event] 8 0 0 0 1 1 0 0
[event] 9 0 0 1 1 0 0 0
[event] 10 0 0 0 1 0 0 0
[event] 11 0 0 1 1 0 0 0
[event] 12 0 0 0 1 0 0 0
[event] 13 0 0 1 1 0 0 0
[event] 14 1 0 0 1 0 0 0
[event] 15 1 0 1 1 1 0 0
[event] 16 0 0 0 0 1 1 0
[event] 17 0 0 1 0 0 1 0
[event] 18 0 0 0 0 0 0 1
[event] 19 0 0 1 0 0 0 1
[event] 20 0 0 0 0 0 0 0
[event] 21 0 0 1 0 0 0 0
[event] 22 0 0 0 0 0 0 0
[event] 23 0 0 1 0 0 0 0
[event] 24 1 1 0 0 0 0 0
[event] 25 1 1 1 0 0 0 0
[event] 26 0 0 0 0 0 1 0
[event] 27 0 0 1 0 0 1 0
[event] 28 0 0 0 0 0 0 1
[event] 29 0 0 1 0 0 0 1
[event] 30 0 1 0 0 0 0 0
[event] 31 0 1 1 0 1 0 0
[event] 32 0 1 0 1 1 0 0
[event] 33 0 1 1 1 1 0 0
[event] 34 0 1 0 0 1 1 0
[event] 35 0 1 1 0 1 1 0
[event] 36 0 0 0 1 1 0 1
[event] 37 0 0 1 1 0 0 1
[event] 38 1 1 0 1 0 0 0
[event] 39 1 1 1 1 0 0 0
[event] 40 0 0 0 1 0 1 0
[event] 41 0 0 1 1 0 1 0
[event] 42 0 0 0 1 0 0 1
[event] 43 0 0 1 1 0 0 1
[event] 44 0 0 0 1 0 0 0
[event] 45 0 0 1 1 0 0 0
[event] 46 0 0 0 1 0 0 0
[event] 47 0 0 1 1 0 0 0
[event] 48 0 1 0 1 0 0 0
[event] 49 0 1 1 1 1 0 0
[event] 50 1 0 0 0 1 1 0
[event] 51 1 0 1 0 1 1 0
[event] 52 0 1 0 1 1 0 1
[event] 53 0 1 1 1 1 0 1
[event] 54 0 0 0 0 1 1 0
[event] 55 0 0 1 0 0 1 0
[event] 56 0 0 0 0 0 0 1
[event] 57 0 0 1 0 0 0 1
[event] 58 0 0 0 0 0 0 0
[event] 59 0 0 1 0 0 0 0
[event] 60 1 0 0 0 0 0 0
[event] 61 1 0 1 0 1 0 0
[event] 62 0 0 0 1 1 0 0
[event] 63 0 0 1 1 0 0 0
[event] 64 0 1 0 1 0 0 0
[event] 65 0 1 1 1 1 0 0
[event] 66 0 0 0 0 1 1 0
[event] 67 0 0 1 0 0 1 0
[event] 68 0 1 0 0 0 0 1
[event] 69 0 1 1 0 1 0 1
[event] 70 0 0 0 1 1 0 0
[event] 71 0 0 1 1 0 0 0
[event] 72 0 0 0 1 0 0 0
[event] 73 0 0 1 1 0 0 0
[event] 74 0 1 0 1 0 0 0
[event] 75 0 1 1 1 1 0 0
[event] 76 0 0 0 0 1 1 0
[event] 77 0 0 1 0 0 1 0
[event] 78 0 0 0 0 0 0 1
[event] 79 0 0 1 0 0 0 1
[event] 80 0 0 0 0 0 0 0
[event] 81 0 0 1 0 0 0 0
[event] 82 0 0 0 0 0 0 0
[event] 83 0 0 1 0 0 0 0
[event] 84 1 0 0 0 0 0 0
[event] 85 1 0 1 0 1 0 0
[event] 86 0 1 0 1 1 0 0
[event] 87 0 1 1 1 1 0 0
[event] 88 0 0 0 0 1 1 0
[event] 89 0 0 1 0 0 1 0
[event] 90 0 1 0 0 0 0 1
[event] 91 0 1 1 0 1 0 1
[event] 92 0 0 0 1 1 0 0
[event] 93 0 0 1 1 0 0 0
[event] 94 0 0 0 1 0 0 0
[event] 95 0 0 1 1 0 0 0
[event] 96 0 1 0 1 0 0 0
[event] 97 0 1 1 1 1 0 0
[event] 98 0 0 0 0 1 1 0
[event] 99 0 0 1 0 0 1 0
[event] 100 1 0 0 0 0 0 1
